dataset,fairness_condition,cov,cov_s,acc,acc_s,pos_0,pos_0_s,pos_1,pos_1_s,neg_0,neg_0_s,neg_1,neg_1_s,abs_0,abs_0_s,abs_1,abs_1_s,tpr_0,tpr_0_s,tpr_1,tpr_1_s,fnr_0,fnr_0_s,fnr_1,fnr_1_s,par_0,par_0_s,par_1,par_1_s,fpr_0,fpr_0_s,fpr_1,fpr_1_s,tnr_0,tnr_0_s,tnr_1,tnr_1_s,nar_0,nar_0_s,nar_1,nar_1_s
compas,ind,39.33,3.82,72.13,2.19,10.07,2.39,9.85,1.06,28.83,3.01,29.69,6.67,61.1,2.93,60.46,6.26,16.7,3.39,16.2,1.79,17.33,3.29,19.38,5.28,65.97,3.83,64.42,4.49,5.47,2.0,4.18,0.6,36.83,4.32,38.92,8.47,57.7,4.0,56.9,8.4
default,ind,39.4,1.01,86.5,0.59,0.94,0.38,0.96,0.23,37.35,1.28,39.18,1.26,61.71,1.49,59.86,1.33,2.6,1.05,3.46,0.84,21.22,1.47,24.11,1.81,76.17,2.05,72.43,1.92,0.41,0.25,0.32,0.12,42.54,1.4,43.07,1.32,57.05,1.52,56.61,1.33
adult,ind,39.83,0.84,89.37,0.54,1.77,0.37,1.9,0.33,37.92,0.94,38.24,1.27,60.31,0.75,59.87,1.3,5.61,1.23,14.98,2.68,17.84,1.03,11.02,1.6,76.55,1.23,73.99,3.28,0.04,0.02,0.25,0.1,46.97,1.11,41.67,1.35,52.99,1.12,58.08,1.33
compas,ind,40.38,4.42,72.06,2.14,10.72,1.95,10.13,0.92,30.79,2.24,29.69,6.67,58.49,2.39,60.18,6.37,17.97,2.45,16.52,1.67,18.77,2.47,19.38,5.28,63.26,3.25,64.09,4.74,5.69,1.7,4.42,0.47,39.09,3.88,38.92,8.47,55.21,3.55,56.66,8.4
bank,ind,40.41,0.8,99.33,0.13,0.36,0.07,0.34,0.29,40.03,0.84,40.28,3.61,59.6,0.85,59.38,3.61,2.54,0.49,0.74,0.56,0.69,0.22,4.87,2.29,96.77,0.53,94.39,2.21,0.13,0.04,0.19,0.22,44.31,0.94,54.19,3.87,55.56,0.95,45.62,3.9
compas,ind,41.34,3.81,72.08,1.64,10.93,2.03,10.42,0.99,32.84,2.09,29.68,5.38,56.23,2.51,59.9,5.3,18.32,2.49,17.1,1.81,20.12,2.04,19.39,4.34,61.56,3.18,63.51,4.61,5.8,1.69,4.46,0.49,41.64,4.05,38.84,6.58,52.56,3.55,56.7,6.48
default,ind,41.44,1.05,86.46,0.63,0.97,0.4,0.97,0.22,40.28,1.67,40.6,1.14,58.75,1.8,58.43,1.26,2.69,1.15,3.5,0.81,23.08,1.72,24.97,1.77,74.23,2.28,71.53,1.92,0.42,0.25,0.32,0.12,45.83,2.02,44.65,1.26,53.75,1.98,55.04,1.31
adult,ind,41.9,0.71,89.05,0.57,1.84,0.41,1.96,0.31,39.97,0.77,40.15,1.22,58.2,0.61,57.89,1.19,5.82,1.33,15.34,2.56,19.31,1.18,12.06,1.65,74.87,1.48,72.59,3.34,0.04,0.02,0.27,0.1,49.28,0.82,43.69,1.27,50.68,0.83,56.03,1.23
german,ind,42.05,2.91,86.21,3.54,1.52,0.73,3.19,3.04,39.62,5.0,41.31,9.18,58.87,4.89,55.49,7.28,3.37,1.88,8.15,6.74,17.77,5.29,16.49,9.02,78.86,4.73,75.36,6.12,0.82,0.83,0.73,2.31,48.42,5.43,53.89,10.72,50.76,5.47,45.38,9.8
bank,ind,42.34,0.75,99.28,0.1,0.38,0.08,0.38,0.26,41.94,0.81,42.26,3.65,57.68,0.83,57.36,3.7,2.68,0.5,0.8,0.5,0.73,0.21,5.92,2.36,96.59,0.53,93.28,2.35,0.13,0.04,0.22,0.21,46.42,0.92,56.53,3.87,53.45,0.93,43.26,3.93
default,ind,43.32,0.7,86.52,0.66,0.98,0.39,0.97,0.22,42.58,1.56,42.19,1.21,56.44,1.59,56.84,1.12,2.74,1.11,3.51,0.81,24.39,2.0,25.81,1.55,72.87,2.42,70.68,1.47,0.42,0.25,0.32,0.12,48.45,1.82,46.43,1.51,51.13,1.73,53.25,1.45
